"lang_id","code","name","percent","official"
311,"GMB","Other",null,false
312,"GEO","Georgian",87.6,true
313,"GEO","Azeri",6.2,false
314,"GEO","Armenian",3.9,false
315,"GEO","Russian",1.2,false
316,"GEO","Other",1,false
317,"DEU","German",null,true
318,"GHA","Asante",16,false
319,"GHA","Ewe",14,false
320,"GHA","Fante",11.6,false
321,"GHA","Boron",4.9,false
322,"GHA","Dagomba",4.4,false
323,"GHA","Dangme",4.2,false
324,"GHA","Dagarte",3.9,false
325,"GHA","Kokomba",3.5,false
326,"GHA","Akyem",3.2,false
327,"GHA","Ga",3.1,false
328,"GHA","Other",31.2,false
329,"GIB","English",null,true
330,"GIB","Spanish",null,false
331,"GIB","Italian",null,false
332,"GIB","Portuguese",null,false
333,"GRC","Greek",99,true
334,"GRC","Other",1,false
335,"GRL","Greenlandic",null,true
336,"GRL","Danish",null,true
337,"GRL","English",null,false
338,"GRD","English",null,true
339,"GRD","French patois",null,false
340,"GUM","English",43.6,false
341,"GUM","Filipino",21.2,false
342,"GUM","Chamorro",17.8,false
343,"GUM","Other Pacific Islander",10,false
344,"GUM","Asian",6.3,false
345,"GUM","Other",1.1,false
346,"GTM","Spanish",60,true
347,"GTM","Amerindian",40,false
348,"GIN","French",null,true
349,"GNB","Crioulo",null,false
350,"GNB","Portuguese",null,true
351,"GNB","Pular",null,false
352,"GNB","Mandingo",null,false
353,"GUY","English",null,true
354,"GUY","Guyanese Creole",null,false
355,"GUY","Amerindian",null,false
356,"GUY","Indian",null,false
357,"GUY","Chinese",null,false
358,"HTI","French",null,true
359,"HTI","Creole",null,true
360,"HND","Spanish",null,true
361,"HND","Amerindian",null,false
362,"HKG","Cantonese",89.5,true
363,"HKG","English",3.5,true
364,"HKG","Mandarin",1.4,true
365,"HKG","Other Chinese",4,false
366,"HKG","Other",1.6,false
367,"HUN","Hungarian",99.6,true
368,"HUN","English",16,false
369,"HUN","German",11.2,false
370,"HUN","Russian",1.6,false
371,"HUN","Romanian",1.3,false
372,"HUN","French",1.2,false
373,"HUN","Other",4.2,false
374,"ISL","Icelandic",null,false
375,"ISL","English",null,false
376,"ISL","Nordic",null,false
377,"ISL","German",null,false
378,"IND","Hindi",41,false
379,"IND","Bengali",8.1,false
380,"IND","Telugu",7.2,false
381,"IND","Marathi",7,false
382,"IND","Tamil",5.9,false
383,"IND","Urdu",5,false
384,"IND","Gujarati",4.5,false
385,"IND","Kannada",3.7,false
386,"IND","Malayalam",3.2,false
387,"IND","Oriya",3.2,false
388,"IND","Punjabi",2.8,false
389,"IND","Assamese",1.3,false
390,"IND","Maithili",1.2,false
391,"IND","Other",5.9,false
392,"IDN","Bahasa",null,true
393,"IDN","English",null,false
394,"IDN","Dutch",null,false
395,"IDN","Other",null,false
396,"IRN","Persian",null,true
397,"IRN","Turkic",null,false
398,"IRN","Kurdish",null,false
399,"IRN","Gilaki and Mazandarani",null,false
400,"IRN","Luri",null,false
401,"IRN","Balochi",null,false
402,"IRN","Arabic",null,false
403,"IRN","Other",null,false
404,"IRQ","Arabic",null,true
405,"IRQ","Kurdish",null,true
406,"IRQ","Turkmen",null,false
407,"IRQ","Syriac",null,true
408,"IRQ","Armenian",null,true
409,"IRL","English",61.3,true
410,"IRL","Irish",38.7,true
411,"ISR","Hebrew",null,true
412,"ISR","Arabic",null,true
413,"ISR","English",null,false
414,"ITA","Italian",null,true
415,"ITA","German",null,false
416,"ITA","French",null,false
417,"ITA","Slovene",null,false
418,"JAM","English",null,false
419,"JAM","English patois",null,false
420,"JPN","Japanese",null,false
421,"JOR","Arabic",null,true
422,"JOR","English",null,false
423,"KAZ","Kazakh",74,true
424,"KAZ","Russian",94.4,true
425,"KEN","English",null,true
426,"KEN","Kiswahili",null,true
427,"KEN","Other",null,false
428,"KIR","Kiribati",null,false
429,"KIR","English",null,true
430,"PRK","Korean",null,false
431,"KOR","Korean",null,false
432,"KOR","English",null,false
433,"KWT","Arabic",null,true
434,"KWT","English",null,false
435,"KGZ","Kyrgyz",71.4,true
436,"KGZ","Uzbek",14.4,false
437,"KGZ","Russian",9,true
438,"KGZ","Other",5.2,false
439,"LAO","Lao",null,true
440,"LAO","French",null,false
441,"LAO","English",null,false
442,"LAO","Other",null,false
443,"LVA","Latvian",56.3,true
444,"LVA","Russian",33.8,false
445,"LVA","Other",0.6,false
446,"LVA","unspecified",9.4,false
447,"LBN","Arabic",null,true
448,"LBN","French",null,false
449,"LBN","English",null,false
450,"LBN","Armenian",null,false
451,"LSO","Sesotho",null,true
452,"LSO","English",null,true
453,"LSO","Zulu",null,false
454,"LSO","Xhosa",null,false
455,"LBR","English",20,true
456,"LBR","Other",null,false
457,"LBY","Arabic",null,true
458,"LBY","Italian",null,false
459,"LBY","English",null,false
460,"LBY","Berber",null,false
461,"LIE","German",94.5,true
462,"LIE","Italian",1.1,false
463,"LIE","Other",4.3,false
464,"LTU","Lithuanian",82,true
465,"LTU","Russian",8,false
466,"LTU","Polish",5.6,false
467,"LTU","Other",0.9,false
468,"LTU","unspecified",3.5,false
469,"LUX","Luxembourgish",88.8,true
470,"LUX","French",4.2,true
471,"LUX","Portuguese",2.3,false
472,"LUX","German",1.1,true
473,"LUX","Other",3.5,false
474,"MKD","Macedonian",66.5,true
475,"MKD","Albanian",25.1,false
476,"MKD","Turkish",3.5,false
477,"MKD","Romani",1.9,false
478,"MKD","Serbian",1.2,false
479,"MKD","Other",1.8,false
480,"MDG","French",null,true
481,"MDG","Malagasy",null,true
482,"MDG","English",null,false
483,"MWI","English",null,true
484,"MWI","Chichewa",null,false
485,"MWI","Chinyanja",null,false
486,"MWI","Chiyao",null,false
487,"MWI","Chitumbuka",null,false
488,"MWI","Chilomwe",null,false
489,"MWI","Chinkhonde",null,false
490,"MWI","Chingoni",null,false
491,"MWI","Chisena",null,false
492,"MWI","Chitonga",null,false
493,"MWI","Chinyakyusa",null,false
494,"MWI","Chilambya",null,false
495,"MYS","Bahasa Malaysia",null,true
496,"MYS","English",null,false
497,"MYS","Chinese",null,false
498,"MYS","Tamil",null,false
499,"MYS","Telugu",null,false
500,"MYS","Malayalam",null,false
501,"MYS","Panjabi",null,false
502,"MYS","Thai",null,false
503,"MDV","Dhivehi",null,true
504,"MDV","English",null,true
505,"MLI","French",null,true
506,"MLI","Bambara",46.3,false
507,"MLI","Peul/Foulfoulbe",9.4,false
508,"MLI","Dogon",7.2,false
509,"MLI","Maraka/Soninke",6.4,false
510,"MLI","Malinke",5.6,false
511,"MLI","Sonrhai/Djerma",5.6,false
512,"MLI","Minianka",4.3,false
513,"MLI","Tamacheq",3.5,false
514,"MLI","Senoufo",2.6,false
515,"MLI","Bobo",2.1,false
516,"MLI","unspecified",0.7,false
517,"MLI","Other",6.3,false
518,"MLT","Maltese",90.1,true
519,"MLT","English",6,true
520,"MLT","multilingual",3,false
521,"MLT","Other",0.9,false
522,"MHL","Marshallese",98.2,true
523,"MHL","Other",1.8,false
524,"MRT","Arabic",null,true
525,"MRT","Pular",null,false
526,"MRT","Soninke",null,false
527,"MRT","Wolof",null,false
528,"MRT","French",null,false
529,"MUS","Creole",86.5,false
530,"MUS","Bhojpuri",5.3,false
531,"MUS","French",4.1,false
532,"MUS","Other",2.6,false
533,"MUS","unspecified",0.1,false
534,"MEX","Spanish",92.7,false
535,"MEX","indigenous",0.8,false
536,"MEX","unspecified",0.8,false
537,"FSM","English",null,true
538,"FSM","Chuukese",null,false
539,"FSM","Kosrean",null,false
540,"FSM","Pohnpeian",null,false
541,"FSM","Yapese",null,false
542,"FSM","Ulithian",null,false
543,"FSM","Woleaian",null,false
544,"FSM","Nukuoro",null,false
545,"FSM","Kapingamarangi",null,false
546,"MDA","Romanian",80.2,true
547,"MDA","Russian",9.7,false
548,"MDA","Gagauz",4.2,false
549,"MDA","Ukrainian",3.9,false
550,"MDA","Bulgarian",1.5,false
551,"MDA","Romani",0.3,false
552,"MDA","Other",0.2,false
553,"MCO","French",null,true
554,"MCO","English",null,false
555,"MCO","Italian",null,false
556,"MCO","Monegasque",null,false
557,"MNG","Mongolian",90,true
558,"MNG","Turkic",null,false
559,"MNG","Russian",null,false
560,"MSR","English",null,false
561,"MAR","Arabic",null,true
562,"MAR","Berber",null,true
563,"MAR","Tachelhit",null,false
564,"MAR","Tarifit",null,false
565,"MAR","French",null,false
566,"MAR","government",null,false
567,"MAR","and",null,false
568,"MOZ","Emakhuwa",25.3,false
569,"MOZ","Portuguese",10.7,true
570,"MOZ","Xichangana",10.3,false
571,"MOZ","Cisena",7.5,false
572,"MOZ","Elomwe",7,false
573,"MOZ","Echuwabo",5.1,false
574,"MOZ","Other",30.4,false
575,"MOZ","unspecified",3.7,false
576,"NAM","Oshivambo",48.9,false
577,"NAM","Nama",11.3,false
578,"NAM","Afrikaans",10.4,false
579,"NAM","Otjiherero",8.6,false
580,"NAM","Kavango",8.5,false
581,"NAM","Caprivi",4.8,false
582,"NAM","English",3.4,true
583,"NAM","Other",2.3,false
584,"NAM","Other",1.7,false
585,"NRU","Nauruan",93,true
586,"NRU","English",2,false
587,"NRU","Other",5,false
588,"NPL","Nepali",44.6,true
589,"NPL","Maithali",11.7,false
590,"NPL","Bhojpuri",6,false
591,"NPL","Tharu",5.8,false
592,"NPL","Tamang",5.1,false
593,"NPL","Newar",3.2,false
594,"NPL","Magar",3,false
595,"NPL","Bajjika",3,false
596,"NPL","Urdu",2.6,false
597,"NPL","Avadhi",1.9,false
598,"NPL","Limbu",1.3,false
599,"NPL","Gurung",1.2,false
600,"NPL","Other",10.4,false
601,"NPL","unspecified",0.2,false
602,"NLD","Dutch",null,true
603,"NCL","French",null,true
604,"NCL","Other",null,false
605,"NZL","English",89.8,true
606,"NZL","Maori",3.5,true
607,"NZL","Samoan",2,false
608,"NZL","Hindi",1.6,false
609,"NZL","French",1.2,false
610,"NZL","Northern Chinese",1.2,false
611,"NZL","Yue",1,false
612,"NZL","Other",20.5,false
613,"NZL","New Zealand Sign",null,true
614,"NIC","Spanish",95.3,true
615,"NIC","Miskito",2.2,false
616,"NIC","Mestizo",2,false
617,"NIC","Other",0.5,false
618,"NER","French",null,true
619,"NER","Hausa",null,false
620,"NER","Djerma",null,false
621,"NGA","English",null,true
622,"NGA","Hausa",null,false
623,"NGA","Yoruba",null,false
624,"NGA","Igbo",null,false
625,"NGA","Fulani",null,false
626,"NGA","Other",null,false
627,"NIU","Niuean",46,true
628,"NIU","Niuean",32,false
629,"NIU","English",11,true
630,"NIU","Niuean",5,false
631,"NIU","Other",6,false
632,"NFK","English",67.6,true
633,"NFK","Other",32.4,false
634,"MNP","Philippine",32.8,false
635,"MNP","Chamorro",24.1,true
636,"MNP","English",17,true
637,"MNP","Other Pacific Island",10.1,false
638,"MNP","Chinese",6.8,false
639,"MNP","Other Asian",7.3,false
640,"MNP","Other",1.9,false
641,"NOR","Bokmal",null,true
642,"NOR","Nynorsk",null,true
643,"NOR","Other",null,false
644,"OMN","Arabic",null,true
645,"OMN","English",null,false
646,"OMN","Baluchi",null,false
647,"OMN","Urdu",null,false
648,"OMN","Indian",null,false
649,"PAK","Punjabi",48,false
650,"PAK","Sindhi",12,false
651,"PAK","Saraiki",10,false
652,"PAK","Pashto",8,false
653,"PAK","Urdu",8,true
654,"PAK","Balochi",3,false
655,"PAK","Hindko",2,false
656,"PAK","Brahui",1,false
657,"PAK","English",null,true
658,"PAK","Burushaski",null,false
659,"PAK","Other",null,false
660,"PLW","Palauan",65.2,true
661,"PLW","Other",1.9,false
662,"PLW","English",19.1,true
663,"PLW","Filipino",9.9,false
664,"PLW","Chinese",1.2,false
665,"PLW","Other",2.8,false
666,"PAN","Spanish",null,true
667,"PAN","indigenous",null,false
668,"PAN","Panamanian English Creole",null,false
669,"PAN","English",null,false
670,"PAN","Chinese",null,false
671,"PAN","Arabic",null,false
672,"PAN","French",null,false
673,"PAN","Other",null,false
674,"PAN","Hebrew",null,false
675,"PAN","Korean",null,false
676,"PAN","Japanese",null,false
677,"PNG","Tok Pisin",null,true
678,"PNG","English",null,true
679,"PNG","Hiri",null,true
680,"PNG","Other",null,false
681,"PRY","Spanish",null,true
682,"PRY","Guarani",null,true
683,"PER","Spanish",84.1,true
684,"PER","Quechua",13,true
685,"PER","Aymara",1.7,true
686,"PER","Ashaninka",0.3,false
687,"PER","Other Native",0.7,false
688,"PER","Other",0.2,false
689,"PHL","Filipino",null,true
690,"PHL","English",null,true
691,"PHL","Other",null,false
692,"POL","Polish",98.2,true
693,"POL","Silesian",1.4,false
694,"POL","Other",1.1,false
695,"POL","unspecified",1.3,false
696,"PRT","Portuguese",null,true
